userName,commentContent,createTime,courseId,courseName
qq__48523624033,老师的代码思路逻辑跟我不一样啊,2017-07-17,679,基于SSH实现员工管理系统之案例实现篇
CS01.1,健康减肥打卡机反馈,2017-03-14,710,CSS深入理解之padding
Amanda205,老师哪里人啊，说话好搞笑。,2017-03-12,710,CSS深入理解之padding
米天逸,旭神的蜜汁画风。。,2017-03-09,710,CSS深入理解之padding
mop18mop183811015,敬佩的是老师钻研到了如此地步！敬仰！,2017-03-08,710,CSS深入理解之padding
非常有喜,幽灵空白节点老师讲课好有意思,2017-03-04,710,CSS深入理解之padding
patience_小七4138480,听不下去了。。。,2017-03-02,710,CSS深入理解之padding
_夕晨踏雪,我现在看每个标签的眼神都变了,2017-03-02,710,CSS深入理解之padding
燃料,听到一半，忍不住评论下，实在是因缺斯汀！！！都不忍心快进，哈哈哈,2017-02-25,710,CSS深入理解之padding
qq_丢失的那五年_0,哈哈哈，笑得好尴尬,2017-02-25,710,CSS深入理解之padding
weibo_hancx1202_0,不怎么滴。,2017-02-22,710,CSS深入理解之padding
韩逗比,老师很可爱。,2017-02-17,710,CSS深入理解之padding
chenxiaoxiao12,之前是不敢用 padding 值来做这些的  现在觉得挺好的啊,2017-02-16,710,CSS深入理解之padding
慕粉3783067,讲的这是啥呀，代码都不对，还看不懂，差评！,2017-02-14,710,CSS深入理解之padding
追逐SUN,"自己太low了,听得云里雾里的",2017-02-09,710,CSS深入理解之padding
慕粉3675724,用这节课的knowledge制作了一个靶心，kawaii,2017-02-08,710,CSS深入理解之padding
qq__9728,哈哈哈哈哈哈哈tp味好重,2017-08-21,696,从零开始打造自己的PHP框架
qq__9728,那些吐槽读音的人，我期待你们能出一套美式英式交替变换的纯英教程，哪来那么多话？,2017-08-21,696,从零开始打造自己的PHP框架
CYLeft,老师的model是在IndexCtrl里面实现的类,2017-08-20,696,从零开始打造自己的PHP框架
CYLeft,"为什么要卸载patharr,最后根本呢没用上好不好，patharr一直都是从2开始，默认忽略了前两个。",2017-08-19,696,从零开始打造自己的PHP框架
CYLeft,那么多if ，else 这样写岂不美哉？,2017-08-19,696,从零开始打造自己的PHP框架
CYLeft,老师用了域名指向，所以REQUEST_URI值为直线，我的还会带一层根目录,2017-08-19,696,从零开始打造自己的PHP框架
CYLeft,表示直接使用include_once（）,2017-08-18,696,从零开始打造自己的PHP框架
CYLeft,老师声音怎么那么温柔？,2017-08-18,696,从零开始打造自己的PHP框架
I_am_lonely,composer等有些方法不是自己写的，有些地方没有讲细，但总体来说没有废话,2017-08-11,696,从零开始打造自己的PHP框架
慕粉7458749,你的这个教程简直太棒了，浅显易懂的讲解了php的框架构成，希望后面能在出一个详细的自己开发的PHP框架来完成一个项目，比如开发一个博客系统等。这样新手可以更好的学习到其中的思路，比如 前后台目录 的划分和管理等。,2017-08-09,696,从零开始打造自己的PHP框架
bylii方便面,后面的$class已经是字符串替换后的$class，所以放进变量中的$class在load方法刚进来的那个if是不符合的，命名空间\core和core都是可以用的，所以替换后的拼接应该是先ltrim去掉斜杠，再拼接上斜杠，不知道对不对？,2017-08-06,696,从零开始打造自己的PHP框架
I_am_lonely,Fatal error: Call to a member function query() on a non-object in F:\tao_web\framework\app\controller\indexController.php on line 8,2017-08-03,696,从零开始打造自己的PHP框架
I_am_lonely,在indexCtrl.php中加代码“$model = new \core\lib\model();”？,2017-08-03,696,从零开始打造自己的PHP框架
syjs10,imooc.php里run方法里$ctrl->index();改成$ctrl->$action();,2017-08-03,696,从零开始打造自己的PHP框架
四目道人,讲得不错，好细致，一理通百理明,2017-08-02,696,从零开始打造自己的PHP框架
SevenYiLaiWen,and subview,2017-03-23,642,玩儿转Swift 2.0（第二季）
右书僮,求推荐IOS、Swift书籍,2017-03-20,642,玩儿转Swift 2.0（第二季）
菩彡提,粗略看过一遍。第二遍刷起,2017-03-16,642,玩儿转Swift 2.0（第二季）
SevenYiLaiWen,第三次来了，卧槽,2017-03-15,642,玩儿转Swift 2.0（第二季）
weixin_露小芝_0,表白波波老师~~~,2017-03-15,642,玩儿转Swift 2.0（第二季）
weixin_露小芝_0,大家加油~~~,2017-03-15,642,玩儿转Swift 2.0（第二季）
SevenYiLaiWen,听着说的是another and,2017-03-11,642,玩儿转Swift 2.0（第二季）
KOKI家的宇,现在已经不能使用 var array = []了。,2017-03-09,642,玩儿转Swift 2.0（第二季）
SevenYiLaiWen,我又来了，第三遍了。,2017-03-08,642,玩儿转Swift 2.0（第二季）
SevenYiLaiWen,相信聪明的同学早已经想到了,2017-03-08,642,玩儿转Swift 2.0（第二季）
褥芪,2.0 exclusiveOr ---> 3.0 symmetricDifference,2017-03-08,642,玩儿转Swift 2.0（第二季）
gmx12345,xxxxxxxx,2017-03-02,642,玩儿转Swift 2.0（第二季）
